Sugar
2020
25 July night 126
26 July 109 231
27 July 113 189
28 July 104 141
29 July 115 127
30 July 118 164
31 July 116 147
01 Aug 130 174
02 Aug 114 179
03 Aug 122 154
04 Aug 127 145
05 Aug 127 161
06 Aug 112 178
07 Aug 100 185
08 Aug 116 138
09 Aug 131 137
10 Aug 112 163
11 Aug 118 145
12 Aug 114 171
13 Aug 108 180
14 Aug 115 160
15 Aug 103 159
16 Aug 102 130
17 Aug 110 149
18 Aug 99 131
19 Aug 108 147
20 Aug 108 136
21 Aug 121 177
22 Aug 112 147
23 aug 107 165
24 aug 118 160
25 aug 94 130
26 aug 107 147
27 aug 109 155
28 aug 105 149
29 aug 112 178
30 aug 100 138
31 aug ? 163



Sent from my iPhone

